Código País;Nombre País;Código CCAA;Nombre_CCAA;id;Nombre_Provincia;Fecha Fin;Fecha Inicio;frec
724;ESPAÑA;PV;PAIS VASCO;1;ALAVA;;;334412
724;ESPAÑA;CM;CASTILLA-LA MANCHA;2;ALBACETE;;;385727
724;ESPAÑA;CV;COMUNIDAD VALENCIANA;3;ALICANTE;;;1901594
724;ESPAÑA;AN;ANDALUCIA;4;ALMERIA;;;740538
724;ESPAÑA;CL;CASTILLA Y LEON;5;AVILA;;;158140
724;ESPAÑA;EX;EXTREMADURA;6;BADAJOZ;;;666000
724;ESPAÑA;IB;ILLES BALEARS;7;ILLES BALEARS;;;1176659
724;ESPAÑA;CT;CATALUÑA;8;BARCELONA;;;5727615
724;ESPAÑA;CL;CASTILLA Y LEON;9;BURGOS;;;355000
724;ESPAÑA;EX;EXTREMADURA;10;CACERES;;;387000
724;ESPAÑA;AN;ANDALUCIA;11;CADIZ;;;1246781
724;ESPAÑA;CV;COMUNIDAD VALENCIANA;12;CASTELLON;;;590616
724;ESPAÑA;CM;CASTILLA-LA MANCHA;13;CIUDAD REAL;;;490000
724;ESPAÑA;AN;ANDALUCIA;14;CORDOBA;;;772000
724;ESPAÑA;GA;GALICIA;15;A CORUÑA;;;1119000
724;ESPAÑA;CM;CASTILLA-LA MANCHA;16;CUENCA;;;195000
724;ESPAÑA;CT;CATALUÑA;17;GIRONA;;;793000
724;ESPAÑA;AN;ANDALUCIA;18;GRANADA;;;921000
724;ESPAÑA;CM;CASTILLA-LA MANCHA;19;GUADALAJARA;;;268000
724;ESPAÑA;PV;PAIS VASCO;20;GIPUZKOA;;;724000
724;ESPAÑA;AN;ANDALUCIA;21;HUELVA;;;528000
724;ESPAÑA;AR;ARAGON;22;HUESCA;;;225000
724;ESPAÑA;AN;ANDALUCIA;23;JAEN;;;623000
724;ESPAÑA;CL;CASTILLA Y LEON;24;LEON;;;448000
724;ESPAÑA;CT;CATALUÑA;25;LLEIDA;;;441000
724;ESPAÑA;LR;LA RIOJA;26;LA RIOJA;;;319000
724;ESPAÑA;GA;GALICIA;27;LUGO;;;323000
724;ESPAÑA;MD;COMUNIDAD DE MADRID;28;MADRID;;;6750336
724;ESPAÑA;AN;ANDALUCIA;29;MALAGA;;;1717504
724;ESPAÑA;MU;REGION DE MURCIA;30;MURCIA;;;1531878
724;ESPAÑA;NA;NAVARRA;31;NAVARRA;;;664000
724;ESPAÑA;GA;GALICIA;32;OURENSE;;;304000
724;ESPAÑA;AS;PRINCIPADO DE ASTURIAS;33;ASTURIAS;;;1004000
724;ESPAÑA;CL;CASTILLA Y LEON;34;PALENCIA;;;158000
724;ESPAÑA;IC;CANARIAS;35;LAS PALMAS;;;1129000
724;ESPAÑA;GA;GALICIA;36;PONTEVEDRA;;;943000
724;ESPAÑA;CL;CASTILLA Y LEON;37;SALAMANCA;;;325000
724;ESPAÑA;IC;CANARIAS;38;S. C. TENERIFE;;;1048000
724;ESPAÑA;CN;CANTABRIA;39;CANTABRIA;;;585000
724;ESPAÑA;CL;CASTILLA Y LEON;40;SEGOVIA;;;153000
724;ESPAÑA;AN;ANDALUCIA;41;SEVILLA;;;1948393
724;ESPAÑA;CL;CASTILLA Y LEON;42;SORIA;;;88000
724;ESPAÑA;CT;CATALUÑA;43;TARRAGONA;;;830000
724;ESPAÑA;AR;ARAGON;44;TERUEL;;;134000
724;ESPAÑA;CM;CASTILLA-LA MANCHA;45;TOLEDO;;;713000
724;ESPAÑA;CV;COMUNIDAD VALENCIANA;46;VALENCIA;;;2605757
724;ESPAÑA;CL;CASTILLA Y LEON;47;VALLADOLID;;;517000
724;ESPAÑA;PV;PAIS VASCO;48;BIZKAIA;;;1149000
724;ESPAÑA;CL;CASTILLA Y LEON;49;ZAMORA;;;167000
724;ESPAÑA;AR;ARAGON;50;ZARAGOZA;;;966000
724;ESPAÑA;CE;CEUTA;51;CEUTA;;;83000
724;ESPAÑA;ME;MELILLA;52;MELILLA;;;85000
